bucket,deviceid,datatype,e,f,ap,ca,cb,cc,pf,rp,va,vb,vc
2025-03-20T00:00:00.000Z,METER-001,TCMData,10000.233464,49.98,933.854,4.767,4.113,4.394,0.9208,395.552,229.037,229.33,229.303
2025-03-20T00:00:00.000Z,METER-002,TCMData,5000.098221,49.942,392.884,2.02,1.889,2.04,0.8632,229.748,228.939,230.274,229.492
2025-03-20T00:15:00.000Z,METER-001,TCMData,10000.484387,49.968,1003.69,4.33,4.794,4.528,0.9624,283.224,229.631,228.786,229.103
2025-03-20T00:15:00.000Z,METER-002,TCMData,5000.222647,50.003,497.703,1.989,1.978,2.674,0.9787,104.29,229.414,231.233,228.559
2025-03-20T00:30:00.000Z,METER-001,TCMData,10000.725251,50.022,963.457,4.152,4.632,4.208,0.9731,228.145,228.562,228.064,229.256
2025-03-20T00:30:00.000Z,METER-002,TCMData,5000.348956,50.022,505.238,2.385,2.292,2.361,0.9396,184.056,229.383,230.079,228.126
2025-03-20T00:45:00.000Z,METER-001,TCMData,10000.989012,49.996,1055.043,4.99,5.018,4.679,0.9411,379.006,229.07,229.239,228.701
2025-03-20T00:45:00.000Z,METER-002,TCMData,5000.471308,49.946,489.408,2.344,1.871,2.259,0.9875,78.221,229.594,230.937,228.46
2025-03-20T01:00:00.000Z,METER-001,TCMData,10001.220299,50.037,925.149,4.892,4.999,4.335,0.8515,569.671,228.9,229.725,228.721
2025-03-20T01:00:00.000Z,METER-002,TCMData,5000.596953,50.059,502.58,2.05,2.419,2.362,0.9623,142.051,229.409,229.943,228.767
2025-03-20T01:15:00.000Z,METER-001,TCMData,10001.478079,50.017,1031.12,4.895,4.833,4.13,0.974,239.947,228.746,230.913,227.913
2025-03-20T01:15:00.000Z,METER-002,TCMData,5000.727368,49.983,521.661,2.464,2.014,2.434,0.9878,82.255,228.921,230.664,228.082
2025-03-20T01:30:00.000Z,METER-001,TCMData,10001.722332,50.018,977.012,4.142,4.464,4.939,0.9428,345.321,229.509,230.786,228.222
2025-03-20T01:30:00.000Z,METER-002,TCMData,5000.86911,50.032,566.967,2.333,2.69,2.791,0.9492,187.895,228.566,230.34,229.099
2025-03-20T01:45:00.000Z,METER-001,TCMData,10001.965031,49.954,970.797,4.504,4.624,4.436,0.936,364.951,229.605,230.145,228.431
2025-03-20T01:45:00.000Z,METER-002,TCMData,5000.99417,50.023,500.242,2.241,1.997,2.847,0.925,205.478,228.114,230.114,228.831
2025-03-20T02:00:00.000Z,METER-001,TCMData,10002.195489,49.959,921.832,4.127,4.574,4.371,0.9226,385.562,230.236,229.999,227.728
2025-03-20T02:00:00.000Z,METER-002,TCMData,5001.102297,50.002,432.507,1.901,2.072,2.118,0.9272,174.694,228.349,231.117,229.819
2025-03-20T02:15:00.000Z,METER-001,TCMData,10002.455959,49.944,1041.878,4.232,4.964,4.652,0.9865,172.857,229.779,229.309,227.256
2025-03-20T02:15:00.000Z,METER-002,TCMData,5001.235345,50.01,532.191,1.971,2.785,2.328,0.9777,114.416,228.979,232.104,230.551
2025-03-20T02:30:00.000Z,METER-001,TCMData,10002.707314,49.996,1005.418,3.688,5.711,5.814,0.8673,577.033,229.662,228.931,227.223
2025-03-20T02:30:00.000Z,METER-002,TCMData,5001.34416,49.958,435.261,1.931,2.088,2.799,0.8328,289.368,228.271,231.2,230.46
2025-03-20T02:45:00.000Z,METER-001,TCMData,10002.946681,50.035,957.469,4.166,5.011,4.454,0.9233,398.257,228.885,229.52,226.243
2025-03-20T02:45:00.000Z,METER-002,TCMData,5001.478314,49.945,536.617,2.683,2.655,2.252,0.9225,224.487,229.186,230.545,230.055
2025-03-20T03:00:00.000Z,METER-001,TCMData,10003.189764,50.005,972.333,4.462,4.643,4.12,0.9678,252.975,228.468,229.169,226.102
2025-03-20T03:00:00.000Z,METER-002,TCMData,5001.619542,49.978,564.91,2.37,2.508,2.777,0.9645,154.77,229.353,230.431,228.953
2025-03-20T03:15:00.000Z,METER-001,TCMData,10003.431026,50.041,965.047,4.667,4.263,4.474,0.95,317.343,227.614,228.462,226.046
2025-03-20T03:15:00.000Z,METER-002,TCMData,5001.749443,49.951,519.603,2.708,2.217,2.157,0.9601,151.278,228.409,230.242,229.142
2025-03-20T03:30:00.000Z,METER-001,TCMData,10003.672657,50.016,966.523,4.113,4.574,4.787,0.9492,320.37,226.716,227.603,225.832
2025-03-20T03:30:00.000Z,METER-002,TCMData,5001.870557,50.029,484.456,2.182,2.009,2.288,0.9784,102.471,229.108,229.317,229.312
2025-03-20T03:45:00.000Z,METER-001,TCMData,10003.896693,49.963,896.145,3.416,3.316,5.636,0.9593,263.721,227.038,226.602,226.087
2025-03-20T03:45:00.000Z,METER-002,TCMData,5001.993349,50.011,491.166,2.626,1.857,2.055,0.9827,92.533,228.911,229.368,229.706
2025-03-20T04:00:00.000Z,METER-001,TCMData,10004.125639,50.032,915.783,4.682,4.918,4.454,0.8624,537.449,225.95,227.729,226.312
2025-03-20T04:00:00.000Z,METER-002,TCMData,5002.109657,50.055,465.231,2.054,2.388,2.051,0.9384,171.292,229.783,228.564,228.855
2025-03-20T04:15:00.000Z,METER-001,TCMData,10004.351157,50.027,902.073,4.964,3.356,3.887,0.9796,185.1,225.794,226.788,226.396
2025-03-20T04:15:00.000Z,METER-002,TCMData,5002.233712,50.027,496.218,2.341,2.309,2.187,0.952,159.527,228.883,227.421,229.719
2025-03-20T04:30:00.000Z,METER-001,TCMData,10004.583781,50.028,930.498,4.149,4.145,5,0.9266,377.653,225.574,227.561,226.727
2025-03-20T04:30:00.000Z,METER-002,TCMData,5002.381907,50,592.78,2.305,2.819,2.718,0.9883,91.659,229.871,228.579,229.956
2025-03-20T04:45:00.000Z,METER-001,TCMData,10004.831705,50.047,991.698,4.85,4.309,5.029,0.9288,395.676,224.436,226.476,226.4
2025-03-20T04:45:00.000Z,METER-002,TCMData,5002.51973,50.02,551.293,2.841,2.256,2.371,0.9634,153.426,230.442,229.709,229.43
2025-03-20T05:00:00.000Z,METER-001,TCMData,10005.06704,49.966,941.339,4.74,4.288,4.32,0.9396,342.876,223.304,226.506,225.712
2025-03-20T05:00:00.000Z,METER-002,TCMData,5002.645514,50.053,503.136,2.6,2.205,1.853,0.9835,92.653,230.804,230.278,230.446
2025-03-20T05:15:00.000Z,METER-001,TCMData,10005.293656,50.054,906.463,4.328,4.134,4.361,0.9424,321.782,223.242,225.979,225.931
2025-03-20T05:15:00.000Z,METER-002,TCMData,5002.773859,49.953,513.379,2.327,2.547,2.356,0.9219,215.785,231.366,231.328,230.569
2025-03-20T05:30:00.000Z,METER-001,TCMData,10005.536502,50.011,971.386,5.014,4.704,4.304,0.9229,405.173,223.618,226.413,225.515
2025-03-20T05:30:00.000Z,METER-002,TCMData,5002.897165,50.044,493.223,2.78,2.168,1.992,0.9226,206.167,232.169,231.681,229.381
2025-03-20T05:45:00.000Z,METER-001,TCMData,10005.796849,50.017,1041.389,4.633,5.044,4.824,0.9559,319.986,224.647,225.725,225.77
2025-03-20T05:45:00.000Z,METER-002,TCMData,5003.017764,50.006,482.397,1.887,2.147,2.333,0.9805,96.786,233.202,231.926,230.373
2025-03-20T06:00:00.000Z,METER-001,TCMData,10006.344099,50.038,2188.999,10.158,10.469,10.154,0.9457,752.09,223.557,226.711,226.496
2025-03-20T06:00:00.000Z,METER-002,TCMData,5003.326916,49.957,1236.609,5.909,5.577,5.317,0.9528,394.047,234.288,231.544,229.354
2025-03-20T06:15:00.000Z,METER-001,TCMData,10006.856532,50.034,2049.734,9.36,9.742,9.701,0.945,709.192,224.685,227.607,225.442
2025-03-20T06:15:00.000Z,METER-002,TCMData,5003.512497,50.005,742.325,3.362,3.081,3.55,0.9615,212.277,234.294,231.438,229.605
2025-03-20T06:30:00.000Z,METER-001,TCMData,10007.392524,50.053,2143.967,9.929,9.45,10.005,0.9707,531.177,224.872,227.253,224.398
2025-03-20T06:30:00.000Z,METER-002,TCMData,5003.805746,49.971,1172.998,5.362,5.315,5.487,0.9392,428.901,234.788,231.58,229.003
2025-03-20T06:45:00.000Z,METER-001,TCMData,10007.834355,49.99,1767.323,8.304,8.107,8.531,0.944,617.679,225.293,226.276,223.99
2025-03-20T06:45:00.000Z,METER-002,TCMData,5004.07318,50.011,1069.734,4.587,5.075,5.105,0.9376,396.698,234.344,231.064,229.945
2025-03-20T07:00:00.000Z,METER-001,TCMData,10008.226305,49.971,1567.799,7.141,7.752,7.433,0.9363,587.941,224.985,227.142,222.875
2025-03-20T07:00:00.000Z,METER-002,TCMData,5004.285404,50.006,848.894,4.104,4.197,4.522,0.8596,504.578,233.452,230.79,228.882
2025-03-20T07:15:00.000Z,METER-001,TCMData,10008.565754,50.006,1357.797,5.899,6.155,6.327,0.9847,240.671,225.455,226.412,223.33
2025-03-20T07:15:00.000Z,METER-002,TCMData,5004.498091,49.977,850.748,4.025,4.048,3.612,0.9448,295.093,233.787,229.972,229.778
2025-03-20T07:30:00.000Z,METER-001,TCMData,10008.934799,50.024,1476.182,7.105,6.451,6.563,0.9785,311.015,225.06,227.136,222.667
2025-03-20T07:30:00.000Z,METER-002,TCMData,5004.755405,49.956,1029.256,4.67,4.966,4.416,0.9502,337.728,233.605,229.636,230.526
2025-03-20T07:45:00.000Z,METER-001,TCMData,10009.474332,49.988,2158.134,9.82,11.008,9.905,0.9362,810.246,225.009,227.08,222.987
2025-03-20T07:45:00.000Z,METER-002,TCMData,5004.927566,50.02,688.643,3.487,2.8,3.046,0.9584,205.119,233.651,229.533,229.72
2025-03-20T08:00:00.000Z,METER-001,TCMData,10010.276247,50.056,3207.662,14.886,15.103,14.693,0.9534,1015.262,225.966,228.112,223.62
2025-03-20T08:00:00.000Z,METER-002,TCMData,5005.400421,50.046,1891.42,8.688,8.77,8.217,0.9574,570.404,233.301,228.783,230.418
2025-03-20T08:15:00.000Z,METER-001,TCMData,10011.180568,50.045,3617.283,15.808,15.609,17.847,0.9751,821.964,225.753,228.519,223.402
2025-03-20T08:15:00.000Z,METER-002,TCMData,5005.8106,49.986,1640.715,7.158,7.493,7.3,0.9746,377.365,232.819,228.023,229.444
